02-05 12:38:32.005 D/GeniusPudding( 9980): - Method END: Lcom/android/inputmethod/compat/CompatUtils;->a(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/reflect/Method;[Ljava/lang/Object;)Ljava/lang/Object;
02-05 12:38:32.005 D/GeniusPudding( 9980): - Method END: Lcom/android/inputmethod/compat/TextViewCompatUtils;->setCompoundDrawablesRelativeWithIntrinsicBounds(Landroid/widget/TextView;Landroid/graphics/drawable/Drawable;Landroid/graphics/drawable/Drawable;Landroid/graphics/drawable/Drawable;Landroid/graphics/drawable/Drawable;)V
02-05 12:38:32.005 D/GeniusPudding( 9980): - Method START: Lcom/dexilog/smartkeyboard/SetupWizardActivity$SetupStep;->setAction(Ljava/lang/Runnable;)V
02-05 12:38:32.005 D/GeniusPudding( 9980): - Method END: Lcom/dexilog/smartkeyboard/SetupWizardActivity$SetupStep;->setAction(Ljava/lang/Runnable;)V
02-05 12:38:32.005 D/GeniusPudding( 9980): - Method START: Lcom/dexilog/smartkeyboard/SetupWizardActivity$SetupStepGroup;->a(Lcom/dexilog/smartkeyboard/SetupWizardActivity$SetupStep;)V
02-05 12:38:32.005 D/GeniusPudding( 9980): - Method END: Lcom/dexilog/smartkeyboard/SetupWizardActivity$SetupStepGroup;->a(Lcom/dexilog/smartkeyboard/SetupWizardActivity$SetupStep;)V
02-05 12:38:32.007 D/GeniusPudding( 9980): - Method START: Lcom/android/inputmethod/compat/TextViewCompatUtils;->setCompoundDrawablesRelativeWithIntrinsicBounds(Landroid/widget/TextView;Landroid/graphics/drawable/Drawable;Landroid/graphics/drawable/Drawable;Landroid/graphics/drawable/Drawable;Landroid/graphics/drawable/Drawable;)V
02-05 12:38:32.007 D/GeniusPudding( 9980): - Method START: Lcom/android/inputmethod/compat/CompatUtils;->a(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/reflect/Method;[Ljava/lang/Object;)Ljava/lang/Object;
02-05 12:38:32.007 D/GeniusPudding( 9980): - Method END: Lcom/android/inputmethod/compat/CompatUtils;->a(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/reflect/Method;[Ljava/lang/Object;)Ljava/lang/Object;
02-05 12:38:32.007 D/GeniusPudding( 9980): - Method END: Lcom/android/inputmethod/compat/TextViewCompatUtils;->setCompoundDrawablesRelativeWithIntrinsicBounds(Landroid/widget/TextView;Landroid/graphics/drawable/Drawable;Landroid/graphics/drawable/Drawable;Landroid/graphics/drawable/Drawable;Landroid/graphics/drawable/Drawable;)V
02-05 12:38:32.007 D/GeniusPudding( 9980): - Method START: Lcom/dexilog/smartkeyboard/SetupWizardActivity$SetupStep;->setAction(Ljava/lang/Runnable;)V
02-05 12:38:32.007 D/GeniusPudding( 9980): - Method END: Lcom/dexilog/smartkeyboard/SetupWizardActivity$SetupStep;->setAction(Ljava/lang/Runnable;)V
02-05 12:38:32.007 D/GeniusPudding( 9980): - Method START: Lcom/dexilog/smartkeyboard/SetupWizardActivity$SetupStepGroup;->a(Lcom/dexilog/smartkeyboard/SetupWizardActivity$SetupStep;)V
02-05 12:38:32.007 D/GeniusPudding( 9980): - Method END: Lcom/dexilog/smartkeyboard/SetupWizardActivity$SetupStepGroup;->a(Lcom/dexilog/smartkeyboard/SetupWizardActivity$SetupStep;)V
02-05 12:38:32.009 D/GeniusPudding( 9980): - Method START: Lcom/android/inputmethod/compat/TextViewCompatUtils;->setCompoundDrawablesRelativeWithIntrinsicBounds(Landroid/widget/TextView;Landroid/graphics/drawable/Drawable;Landroid/graphics/drawable/Drawable;Landroid/graphics/drawable/Drawable;Landroid/graphics/drawable/Drawable;)V
02-05 12:38:32.009 D/GeniusPudding( 9980): - Method START: Lcom/android/inputmethod/compat/CompatUtils;->a(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/reflect/Method;[Ljava/lang/Object;)Ljava/lang/Object;
02-05 12:38:32.009 D/GeniusPudding( 9980): - Method END: Lcom/android/inputmethod/compat/CompatUtils;->a(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/reflect/Method;[Ljava/lang/Object;)Ljava/lang/Object;
